claim_id,final_verdict,stages,ground_truth
13066,TRUE,o,TRUE
13068,HALF-TRUE,o+r,HALF-TRUE
13070,HALF-TRUE,o,HALF-TRUE
13072,HALF-TRUE,o,HALF-TRUE
13074,HALF-TRUE,o,TRUE
13091,FALSE,o,HALF-TRUE
13096,HALF-TRUE,o,HALF-TRUE
13105,HALF-TRUE,o,HALF-TRUE
13109,HALF-TRUE,o,HALF-TRUE
13115,HALF-TRUE,o+r,HALF-TRUE
13122,HALF-TRUE,o,HALF-TRUE
13124,HALF-TRUE,o,HALF-TRUE
13127,HALF-TRUE,o,HALF-TRUE
13132,TRUE,o,TRUE
13134,HALF-TRUE,o+r,HALF-TRUE
13135,HALF-TRUE,o,HALF-TRUE
13144,HALF-TRUE,o+r,HALF-TRUE
13152,HALF-TRUE,o,HALF-TRUE
13156,HALF-TRUE,o+r,HALF-TRUE
13158,HALF-TRUE,o,HALF-TRUE
13162,HALF-TRUE,o+r,HALF-TRUE
13171,HALF-TRUE,o,HALF-TRUE
13172,TRUE,o,HALF-TRUE
13178,HALF-TRUE,o+r,HALF-TRUE
13190,HALF-TRUE,o,HALF-TRUE
13199,HALF-TRUE,o,HALF-TRUE
13204,HALF-TRUE,o,HALF-TRUE
13208,HALF-TRUE,o+r+c,HALF-TRUE
13209,HALF-TRUE,o,TRUE
13210,HALF-TRUE,o,HALF-TRUE
13213,HALF-TRUE,o,HALF-TRUE
13226,TRUE,o,TRUE
13227,FALSE,o,HALF-TRUE
13229,HALF-TRUE,o+r,HALF-TRUE
13231,HALF-TRUE,o,HALF-TRUE
13233,HALF-TRUE,o,HALF-TRUE
13235,HALF-TRUE,o,HALF-TRUE
13237,HALF-TRUE,o+r,TRUE
13245,HALF-TRUE,o,HALF-TRUE
13246,HALF-TRUE,o,HALF-TRUE
13248,HALF-TRUE,o,HALF-TRUE
13257,HALF-TRUE,o,HALF-TRUE
13263,HALF-TRUE,o,HALF-TRUE
13267,HALF-TRUE,o,HALF-TRUE
13270,HALF-TRUE,o,HALF-TRUE
13273,HALF-TRUE,o+r,TRUE
13277,HALF-TRUE,o+r,TRUE
13319,HALF-TRUE,o,TRUE
13326,HALF-TRUE,o,TRUE
13361,TRUE,o+r,TRUE
13372,TRUE,o,TRUE
13375,TRUE,o,TRUE
13395,HALF-TRUE,o+r,TRUE
13409,HALF-TRUE,o+r,TRUE
13460,HALF-TRUE,o,TRUE
13475,TRUE,o,TRUE
13546,HALF-TRUE,o+r,TRUE
13553,HALF-TRUE,o+r,TRUE
13556,TRUE,o+r,TRUE
13567,TRUE,o+r,TRUE
13581,TRUE,o,TRUE
13607,TRUE,o,TRUE
13621,TRUE,o,TRUE
13639,FALSE,o,TRUE
13663,HALF-TRUE,o+r,TRUE
13756,HALF-TRUE,o,TRUE
13764,TRUE,o+r,TRUE
13766,TRUE,o+r,TRUE
13789,HALF-TRUE,o+r,TRUE
13808,HALF-TRUE,o+r,TRUE
13832,HALF-TRUE,o+r,TRUE
13919,HALF-TRUE,o+r,TRUE
13943,TRUE,o+r,TRUE
13949,TRUE,o,TRUE
13958,HALF-TRUE,o+r,TRUE
13959,TRUE,o+r,TRUE
13986,HALF-TRUE,o,TRUE
14009,TRUE,o+r,TRUE
14014,TRUE,o,TRUE
14050,TRUE,o,TRUE
14120,HALF-TRUE,o,TRUE
14139,HALF-TRUE,o,TRUE
14193,TRUE,o,TRUE
14248,HALF-TRUE,o+r,TRUE
14256,HALF-TRUE,o,TRUE
14281,TRUE,o,TRUE
14283,TRUE,o+r,TRUE
14293,TRUE,o+r,TRUE
